,date,index
0,2022-08,88.93584724346839
1,2022-09,84.7936297006219
2,2022-10,115.2910173899914
3,2022-11,80.53818731787696
4,2022-12,95.48901493509237
5,2023-01,93.42547960913096
6,2023-02,86.14641333807242
7,2023-03,104.0181909247574
8,2023-04,84.06084524641902
9,2023-05,110.53455300259641
10,2023-06,105.07605655802375
11,2023-07,94.38553320221708
12,2023-08,93.98559450220769
13,2023-09,89.04172325209156
14,2023-10,88.29486816423619
15,2023-11,96.63929289278099
16,2023-12,79.26136239698378
17,2024-01,94.51151625387568
18,2024-02,81.94141342379977
19,2024-03,96.10944624282361
20,2024-04,87.44994119615737
21,2024-05,89.93922603288186
22,2024-06,108.20528081288653
23,2024-07,84.10237728458424
24,2024-08,106.31567693379505
25,2024-09,102.18070850359351
26,2024-10,107.36689612921886
27,2024-11,100.33560422180823
28,2024-12,118.32135140999583
29,2025-01,89.21192304422416
30,2025-02,134.765851408571
31,2025-03,116.4125253412559
32,2025-04,111.17844360261154
33,2025-05,128.45520037655822
34,2025-06,136.1212550865308
35,2025-07,111.98895501578848
36,2025-08,105.16879800247038
